opinion_id,opinion_comment,rating
201,morph sexy eyeballs,1
202,utilize scalable applications,4
203,orchestrate revolutionary technologies,1
204,drive front-end schemas,4
205,evolve sexy mindshare,5
206,morph front-end ROI,3
207,reintermediate efficient methodologies,3
208,strategize efficient platforms,3
209,recontextualize efficient applications,4
210,aggregate impactful interfaces,5
211,optimize proactive paradigms,2
212,aggregate leading-edge portals,4
213,leverage frictionless convergence,3
214,synthesize cross-media infomediaries,5
215,embrace impactful e-services,1
216,enhance scalable supply-chains,1
217,benchmark open-source web-readiness,3
218,envisioneer value-added e-commerce,4
219,empower cross-media e-commerce,2
220,utilize sticky markets,4
221,syndicate intuitive action-items,2
222,disintermediate impactful paradigms,4
223,embrace magnetic systems,3
224,iterate compelling niches,3
225,grow granular portals,4
226,target dynamic infomediaries,4
227,engage sexy users,3
228,orchestrate mission-critical methodologies,4
229,monetize turn-key interfaces,3
230,harness user-centric e-commerce,1
231,generate intuitive communities,1
232,strategize world-class mindshare,5
233,innovate front-end infomediaries,1
234,empower visionary markets,5
235,embrace open-source infomediaries,4
236,expedite plug-and-play e-tailers,2
237,monetize frictionless mindshare,4
238,extend front-end communities,2
239,streamline efficient paradigms,2
240,streamline 24/7 partnerships,2
241,evolve holistic technologies,5
242,incubate bricks-and-clicks web-readiness,5
243,enhance distributed niches,5
244,orchestrate value-added supply-chains,3
245,maximize scalable initiatives,5
246,engage open-source e-markets,3
247,reinvent efficient channels,2
248,iterate transparent methodologies,1
249,productize back-end technologies,5
250,harness revolutionary e-commerce,1
251,expedite seamless schemas,3
252,reintermediate cross-media users,1
253,mesh B2B content,4
254,streamline killer communities,1
255,synthesize sticky portals,2
256,optimize intuitive applications,5
257,maximize vertical infrastructures,4
258,visualize best-of-breed e-services,3
259,brand collaborative action-items,1
260,innovate rich partnerships,5
261,incubate dot-com synergies,2
262,streamline next-generation initiatives,5
263,whiteboard magnetic supply-chains,1
264,reinvent bleeding-edge web-readiness,5
265,productize leading-edge e-business,3
266,redefine B2C solutions,1
267,innovate viral users,4
268,integrate vertical web-readiness,2
269,drive magnetic synergies,3
270,streamline web-enabled action-items,1
271,productize world-class mindshare,3
272,unleash seamless channels,4
273,redefine dot-com web-readiness,1
274,incentivize global deliverables,3
275,extend sexy e-services,4
276,incubate global experiences,1
277,implement ubiquitous web services,4
278,e-enable compelling metrics,5
279,reinvent interactive networks,4
280,whiteboard interactive users,3
281,maximize customized content,4
282,streamline cross-media technologies,2
283,recontextualize interactive e-services,3
284,benchmark impactful eyeballs,2
285,empower back-end bandwidth,3
286,reintermediate best-of-breed ROI,3
287,morph strategic e-markets,3
288,engineer world-class architectures,5
289,innovate B2B bandwidth,5
290,innovate proactive niches,5
291,embrace leading-edge e-services,5
292,empower e-business e-tailers,1
293,unleash synergistic initiatives,1
294,grow impactful portals,4
295,reintermediate 24/365 metrics,1
296,aggregate cutting-edge bandwidth,3
297,exploit collaborative e-services,3
298,innovate distributed methodologies,3
299,orchestrate bricks-and-clicks functionalities,5
300,maximize holistic convergence,5
301,integrate plug-and-play initiatives,2
302,productize bricks-and-clicks niches,5
303,generate visionary systems,2
304,generate ubiquitous paradigms,4
305,leverage extensible eyeballs,5
306,enhance global partnerships,2
307,leverage bleeding-edge markets,4
308,transform frictionless users,5
309,empower frictionless deliverables,3
310,drive back-end convergence,4
311,transition holistic e-business,2
312,matrix synergistic synergies,5
313,facilitate real-time communities,3
314,transition synergistic eyeballs,3
315,strategize B2C solutions,1
316,seize back-end systems,1
317,strategize dot-com networks,5
318,transition open-source users,5
319,enable customized markets,3
320,strategize dot-com technologies,5
321,recontextualize sticky supply-chains,1
322,facilitate collaborative interfaces,5
323,revolutionize innovative systems,1
324,visualize turn-key deliverables,3
325,empower mission-critical web services,4
326,evolve dot-com technologies,3
327,unleash one-to-one niches,3
328,matrix proactive e-commerce,1
329,strategize 24/365 channels,1
330,maximize viral web-readiness,2
331,iterate web-enabled mindshare,1
332,disintermediate dynamic infrastructures,1
333,incubate innovative ROI,5
334,mesh user-centric web-readiness,4
335,evolve rich convergence,4
336,monetize viral channels,4
337,repurpose wireless convergence,4
338,orchestrate web-enabled interfaces,1
339,incentivize plug-and-play e-business,4
340,incentivize end-to-end e-commerce,3
341,extend out-of-the-box eyeballs,3
342,synergize efficient platforms,5
343,leverage one-to-one networks,5
344,aggregate visionary applications,3
345,whiteboard impactful supply-chains,1
346,aggregate end-to-end technologies,5
347,empower compelling web-readiness,4
348,maximize 24/7 markets,2
349,envisioneer frictionless convergence,5
350,incubate bricks-and-clicks paradigms,2
351,aggregate end-to-end e-markets,1
352,embrace leading-edge ROI,3
353,incentivize bleeding-edge infomediaries,2
354,visualize vertical e-business,2
355,utilize e-business solutions,2
356,empower turn-key communities,1
357,syndicate B2C systems,1
358,envisioneer world-class interfaces,4
359,deploy B2C web services,4
360,envisioneer sticky relationships,2
361,generate out-of-the-box solutions,1
362,mesh viral e-tailers,3
363,transform B2C systems,4
364,extend world-class initiatives,4
365,orchestrate world-class platforms,2
366,innovate customized portals,3
367,disintermediate next-generation supply-chains,5
368,embrace next-generation metrics,1
369,productize cross-media experiences,5
370,streamline best-of-breed vortals,4
371,visualize dot-com web services,3
372,grow strategic markets,5
373,whiteboard transparent e-business,3
374,scale visionary technologies,3
375,transform killer web services,1
376,integrate web-enabled e-tailers,2
377,unleash turn-key ROI,1
378,matrix virtual networks,4
379,disintermediate 24/365 relationships,4
380,generate intuitive convergence,5
381,monetize bleeding-edge systems,2
382,maximize bleeding-edge niches,2
383,evolve proactive functionalities,1
384,engineer real-time content,2
385,scale clicks-and-mortar infomediaries,5
386,reintermediate visionary platforms,5
387,productize frictionless infrastructures,4
388,revolutionize best-of-breed communities,2
389,repurpose cutting-edge niches,1
390,empower cross-media e-commerce,5
391,generate dot-com eyeballs,4
392,transform scalable channels,2
393,engage synergistic niches,1
394,extend virtual schemas,4
395,optimize user-centric systems,5
396,engineer collaborative portals,4
397,engineer turn-key solutions,5
398,incentivize out-of-the-box solutions,1
399,matrix front-end functionalities,2
400,drive web-enabled experiences,1
401,maximize efficient architectures,4
402,whiteboard wireless deliverables,1
403,transition impactful schemas,4
404,synergize back-end action-items,5
405,deploy holistic action-items,4
406,expedite sticky e-commerce,2
407,productize killer partnerships,4
408,drive world-class e-commerce,5
409,empower synergistic platforms,2
410,incubate 24/365 users,4
411,scale cross-platform content,4
412,strategize rich niches,3
413,drive turn-key supply-chains,3
414,incubate compelling content,4
415,benchmark plug-and-play solutions,1
416,synthesize intuitive action-items,5
417,architect world-class platforms,5
418,maximize integrated schemas,5
419,target one-to-one e-tailers,2
420,matrix end-to-end models,2
421,scale extensible functionalities,5
422,embrace next-generation web-readiness,4
423,repurpose one-to-one models,4
424,monetize bricks-and-clicks schemas,4
425,utilize impactful e-commerce,5
426,utilize distributed e-business,2
427,deliver ubiquitous relationships,4
428,brand ubiquitous web services,2
429,productize front-end paradigms,4
430,streamline dot-com functionalities,2
431,deploy compelling action-items,4
432,scale best-of-breed content,5
433,mesh magnetic functionalities,4
434,orchestrate distributed ROI,3
435,repurpose one-to-one e-services,5
436,maximize sexy vortals,2
437,generate mission-critical action-items,3
438,orchestrate out-of-the-box e-services,4
439,engage e-business ROI,1
440,aggregate synergistic synergies,4
441,drive impactful portals,1
442,target cross-platform e-commerce,2
443,enable seamless channels,1
444,benchmark mission-critical markets,5
445,transition extensible synergies,4
446,optimize back-end relationships,2
447,seize robust synergies,4
448,repurpose turn-key solutions,1
449,envisioneer vertical methodologies,1
450,synergize B2C e-tailers,3
451,utilize dynamic schemas,5
452,monetize plug-and-play e-markets,1
453,monetize dynamic web-readiness,3
454,envisioneer front-end e-markets,4
455,cultivate plug-and-play users,5
456,revolutionize vertical schemas,1
457,reintermediate B2C users,3
458,enhance enterprise relationships,4
459,whiteboard web-enabled mindshare,4
460,integrate best-of-breed infrastructures,4
461,e-enable sticky e-tailers,2
462,seize B2B experiences,1
463,engage integrated experiences,3
464,harness B2B systems,3
465,visualize extensible infomediaries,4
466,recontextualize cross-media architectures,4
467,syndicate sexy functionalities,5
468,synergize enterprise applications,2
469,transform global communities,4
470,utilize back-end markets,1
471,engage collaborative solutions,4
472,deploy compelling architectures,1
473,enable bricks-and-clicks deliverables,2
474,whiteboard strategic supply-chains,3
475,aggregate transparent web services,3
476,redefine B2C content,2
477,deliver 24/7 experiences,4
478,leverage compelling infomediaries,2
479,syndicate scalable e-business,1
480,expedite revolutionary systems,2
481,generate vertical portals,4
482,reinvent scalable networks,4
483,expedite customized systems,2
484,engineer web-enabled content,3
485,generate vertical infomediaries,5
486,engineer wireless infomediaries,2
487,exploit distributed markets,5
488,seize integrated systems,5
489,cultivate back-end e-tailers,3
490,productize real-time infomediaries,2
491,scale compelling methodologies,3
492,engage enterprise relationships,4
493,empower front-end functionalities,4
494,facilitate ubiquitous applications,4
495,unleash user-centric niches,5
496,synergize enterprise methodologies,2
497,aggregate e-business e-tailers,2
498,orchestrate world-class partnerships,3
499,leverage efficient convergence,3
500,aggregate leading-edge experiences,2
